HDI Rank,Country,GDI_Value,GDI_Group,HDI_Female,HDI_Male,Lif_Expec_Female,Lif_Excep_Male,Excep_Yrs_Schooling_Female,Excep_Yrs_Schooling_Male,Mean_Yrs_Schooling_Female,Mean_Yrs_Schooling_Male,GNI_PC_Female,GNI_PC_Male
116.0,,0.882,5.0,0.652,0.739,74.4,69.7,13.3,13.3,6.8,8.1,,
117.0,,,,,,,,,,10.7,11.1,,
117.0,,0.997,1.0,0.703,0.705,79.5,71.3,12.9,12.5,8.0,8.6,,
119.0,,0.916,4.0,0.67,0.731,68.7,64.4,12.6,13.4,7.8,9.6,,
120.0,,0.957,2.0,0.677,0.707,75.6,67.4,13.2,12.7,11.2,11.0,,
121.0,,0.835,5.0,0.612,0.734,77.9,75.4,13.3,14.1,4.7,6.6,,
122.0,,0.961,2.0,0.662,0.688,73.1,66.9,11.6,11.3,8.9,8.0,,
123.0,,0.774,5.0,0.566,0.731,72.7,68.6,10.4,12.2,6.0,8.6,,
124.0,,0.975,2.0,0.662,0.679,77.8,68.5,11.5,11.7,6.6,7.3,,
125.0,,0.823,5.0,0.586,0.712,73.4,68.9,10.7,12.6,10.2,11.3,,
