HDI Rank,Country,GDI_Value,GDI_Group,HDI_Female,HDI_Male,Lif_Expec_Female,Lif_Excep_Male,Excep_Yrs_Schooling_Female,Excep_Yrs_Schooling_Male,Mean_Yrs_Schooling_Female,Mean_Yrs_Schooling_Male,GNI_PC_Female,GNI_PC_Male
91.0,Moldova (Republic of),0.858,5.0,0.671,0.782,78.1,75.7,14.8,14.4,7.7,8.3,11.994,15.477
92.0,Algeria,0.892,5.0,0.691,0.774,80.9,77.1,11.1,11.5,8.5,8.9,3.296,18.891
93.0,Lebanon,,,,,69.3,65.7,,,11.0,10.8,6.078,23.124
94.0,Fiji,,,,,,,,,,,8.317,17.577
95.0,Dominica,0.923,4.0,0.698,0.756,80.8,77.5,12.3,12.1,7.0,7.0,,
95.0,Maldives,0.9,4.0,0.689,0.766,78.7,74.7,15.8,14.3,6.5,8.0,7.908,22.931
97.0,Tunisia,0.965,2.0,0.724,0.75,75.1,70.3,14.2,14.0,8.9,8.7,4.587,16.341
97.0,Saint Vincent and the Grenadines,0.985,1.0,0.729,0.74,75.1,68.5,13.8,12.5,9.4,9.1,8.88,15.776
99.0,Suriname,1.023,1.0,0.744,0.727,74.1,65.8,14.8,13.7,10.7,9.7,9.504,19.093
100.0,Mongolia,0.998,1.0,0.734,0.735,72.4,66.5,13.0,12.7,9.5,9.7,8.756,12.981
101.0,Botswana,0.994,1.0,0.73,0.735,76.1,72.9,13.9,12.4,10.2,9.3,15.276,17.677
102.0,Jamaica,0.875,5.0,0.664,0.758,76.3,72.8,11.6,11.1,10.3,10.7,7.501,11.163
103.0,Jordan,0.966,2.0,0.714,0.739,76.4,72.3,13.0,12.4,8.5,8.5,3.324,16.234
104.0,Paraguay,0.95,3.0,0.702,0.739,72.9,69.0,14.6,14.0,11.3,11.2,8.855,15.483
105.0,Tonga,0.976,1.0,0.713,0.731,76.0,70.1,13.1,12.6,8.5,7.2,4.311,8.416
106.0,Libya,0.939,3.0,0.695,0.74,73.8,69.6,11.9,12.2,11.6,12.0,9.249,21.999
107.0,Uzbekistan,0.945,3.0,0.696,0.737,74.5,68.7,14.2,14.2,8.3,9.8,5.064,9.23
107.0,Bolivia (Plurinational State of),0.94,3.0,0.694,0.738,74.0,69.6,13.7,13.5,7.8,8.6,6.481,10.61
107.0,Indonesia,1.007,1.0,0.72,0.715,75.5,67.3,13.5,12.8,9.6,9.2,7.902,14.966
110.0,Philippines,0.976,1.0,0.706,0.723,77.8,71.7,13.4,12.8,9.9,9.9,7.843,11.694
111.0,Belize,,,,,75.5,71.3,13.2,12.3,,,4.896,7.881
111.0,Samoa,,,,,71.7,64.7,10.9,11.5,,,4.054,8.41
113.0,Turkmenistan,1.009,1.0,0.712,0.706,76.0,68.3,13.8,11.8,10.6,10.0,10.493,19.461
114.0,Venezuela (Bolivarian Republic of),0.986,1.0,0.702,0.712,67.7,60.7,14.2,13.4,10.0,10.3,5.173,8.973
115.0,South Africa,0.87,5.0,0.638,0.733,75.8,72.4,14.3,12.6,8.9,9.4,9.248,15.095
116.0,"Palestine, State of",0.882,5.0,0.652,0.739,74.4,69.7,13.3,13.3,6.8,8.1,2.045,10.666
117.0,Egypt,,,,,,,,,10.7,11.1,4.753,18.039
117.0,Marshall Islands,0.997,1.0,0.703,0.705,79.5,71.3,12.9,12.5,8.0,8.6,,
119.0,Viet Nam,0.916,4.0,0.67,0.731,68.7,64.4,12.6,13.4,7.8,9.6,6.644,8.224
120.0,Gabon,0.957,2.0,0.677,0.707,75.6,67.4,13.2,12.7,11.2,11.0,9.925,17.791
121.0,Kyrgyzstan,0.835,5.0,0.612,0.734,77.9,75.4,13.3,14.1,4.7,6.6,2.971,6.798
122.0,Morocco,0.961,2.0,0.662,0.688,73.1,66.9,11.6,11.3,8.9,8.0,2.975,11.831
123.0,Guyana,0.774,5.0,0.566,0.731,72.7,68.6,10.4,12.2,6.0,8.6,5.359,13.512
124.0,Iraq,0.975,2.0,0.662,0.679,77.8,68.5,11.5,11.7,6.6,7.3,2.427,18.975
125.0,El Salvador,0.823,5.0,0.586,0.712,73.4,68.9,10.7,12.6,10.2,11.3,6.471,10.501
126.0,Tajikistan,0.974,2.0,0.655,0.672,76.2,69.5,13.0,12.4,6.0,6.6,1.44,6.427
127.0,Cabo Verde,0.941,3.0,0.639,0.679,77.2,71.4,10.6,10.9,6.6,6.7,5.453,8.573
128.0,Guatemala,1.012,1.0,0.663,0.655,78.0,70.9,12.6,12.1,7.2,6.6,5.451,11.629
129.0,Nicaragua,0.921,4.0,0.626,0.679,72.2,71.4,13.5,12.8,3.3,4.8,4.656,5.93
130.0,Bhutan,1.007,1.0,0.648,0.643,66.5,60.7,12.7,12.5,7.3,6.7,8.117,13.069
131.0,Namibia,0.82,5.0,0.573,0.699,71.0,68.5,12.6,11.7,5.4,8.7,8.482,10.287
132.0,India,0.978,1.0,0.625,0.639,77.6,73.0,10.5,9.6,6.6,6.5,2.331,10.702
133.0,Honduras,0.904,4.0,0.596,0.66,74.6,70.9,12.0,11.2,5.7,6.9,4.173,6.446
134.0,Bangladesh,,,,,72.3,64.2,12.2,11.4,,,2.873,7.031
135.0,Kiribati,0.906,4.0,0.59,0.651,72.8,68.0,12.8,12.6,5.8,7.1,,
136.0,Sao Tome and Principe,,,,,69.6,66.2,,,,,2.462,5.439
137.0,Micronesia (Federated States of),0.927,3.0,0.589,0.636,69.7,66.1,10.7,11.3,4.9,5.7,,
138.0,Lao People's Democratic Republic,0.996,1.0,0.609,0.611,64.8,56.0,11.8,11.9,6.3,7.2,5.801,9.013
138.0,Eswatini (Kingdom of),0.911,4.0,0.582,0.639,65.2,63.0,11.4,11.6,6.6,8.1,7.011,8.863
140.0,Ghana,,,,,72.2,69.0,11.5,12.0,,,4.073,6.432
141.0,Vanuatu,0.942,3.0,0.587,0.623,71.6,67.5,12.2,13.0,3.8,5.6,2.406,3.784
142.0,Timor-Leste,0.933,3.0,0.581,0.623,72.2,69.3,13.0,12.6,4.3,5.8,4.486,4.395
143.0,Nepal,0.937,3.0,0.581,0.62,69.0,64.3,11.0,11.7,6.0,7.2,2.91,4.108
144.0,Kenya,0.922,4.0,0.57,0.618,71.9,67.5,11.0,11.9,4.2,5.8,3.666,4.829
145.0,Cambodia,,,,,59.9,57.7,,,4.2,7.6,3.697,4.822
146.0,Equatorial Guinea,0.958,2.0,0.569,0.593,66.9,60.8,10.7,11.6,6.3,8.2,9.949,17.135
147.0,Zambia,0.954,2.0,0.564,0.592,70.1,64.0,10.9,10.5,5.0,4.9,3.38,3.27
148.0,Myanmar,0.903,4.0,0.552,0.611,64.0,58.4,11.0,12.7,4.0,6.4,3.174,6.881
149.0,Angola,0.929,3.0,0.555,0.598,66.0,63.1,11.6,11.9,6.1,7.5,5.205,7.022
150.0,Congo,0.931,3.0,0.55,0.59,62.9,59.8,10.5,11.5,8.1,8.9,2.5,3.259
151.0,Zimbabwe,,,,,74.9,71.3,9.7,10.7,,,2.375,2.985
151.0,Solomon Islands,0.829,5.0,0.492,0.593,78.1,67.9,8.9,8.8,4.6,5.6,1.974,2.523
153.0,Syrian Arab Republic,0.864,5.0,0.521,0.603,60.6,58.0,11.3,12.9,4.7,8.0,989.0,6.225
154.0,Cameroon,0.745,5.0,0.456,0.612,68.3,66.3,7.6,8.9,3.8,6.3,2.973,4.189
155.0,Pakistan,,,,,65.8,63.3,,,4.0,5.3,1.393,8.412
156.0,Papua New Guinea,0.891,5.0,0.519,0.583,66.1,62.6,11.1,11.4,4.0,6.0,3.767,4.814
157.0,Comoros,0.864,5.0,0.5,0.579,66.5,63.3,8.7,8.5,3.8,5.6,2.3,3.885
158.0,Mauritania,0.855,5.0,0.502,0.587,63.3,60.2,11.4,13.8,2.4,5.5,2.782,7.468
159.0,Benin,0.863,5.0,0.503,0.582,65.6,61.0,10.6,12.2,4.9,7.6,2.837,3.673
160.0,Uganda,0.945,3.0,0.528,0.558,71.1,66.8,11.2,11.2,4.0,4.9,1.591,2.671
161.0,Rwanda,0.881,5.0,0.504,0.572,55.6,53.8,9.4,10.6,5.7,7.7,1.876,2.444
162.0,Nigeria,0.811,5.0,0.476,0.586,59.1,56.6,9.0,10.9,4.2,6.4,4.107,5.692
163.0,Côte d'Ivoire,0.948,3.0,0.514,0.542,67.2,63.6,8.2,8.0,5.8,6.4,2.561,7.531
